    table_name,source_rows_count,dest_rows_count,qc_status,ignore_rows_count,reason,is_phi
    ORDTOCOMPLETE,342139,342139,True,0,,True
    PaymentPlan,209,209,True,0,,True
    ReportControlProperty,5094,5094,True,0,,True
    PatientInfoLog,11736864,0,True,11736864,,True
    MEDDX,46510,46510,True,0,,True
    ICDStructure,120999,120999,True,0,,False
    L3TASKRECUR,80,80,True,0,,False
    LOINC,94383,94383,True,0,,False
    FORM,32152,32152,True,0,,False
    EXTIDSPACE,7,7,True,0,,False
    FORMUPDATE,509,509,True,0,,False
    ePRESCRIB,702567,702567,True,0,,True
    DOCROUTE,10608,10608,True,0,,True
    Control,36,36,True,0,,True
    BKP_SPR4526ALLERGY,183642,183642,True,0,,True
    Batch,52268,52268,True,0,,True
    ApptSearchCriteriaFacilities,4344,4344,True,0,,True
    MS_ICD9XREF_DELTA,2,2,True,0,,True
    MS_M01_DELTA,249,249,True,0,,False
    MostUsedProblem,142197,142197,True,0,,True
    MEDINFOBAK,50142,50142,True,0,,False
    LoginProcUsers,4,4,True,0,,False
    LinkLogic_Export_Flowsheet,52340,52340,True,0,,True
    L3QUALIFIER,66,66,True,0,,False
    Occupation,540,540,True,0,,True
    Load_CPT,18674,18674,True,0,,False
    INQPHRAS,165,165,True,0,,False
    MS_M02_DELTA,6,6,True,0,,False
    InsuranceCarriersOrderCategory,539,539,True,0,,True
    InsuranceCarriersIds,1945,1945,True,0,,True
    InsuranceCarrierCompany,1947,1947,True,0,,True
    InsuranceCarriers,7812,7812,True,0,,True
    iLicProdInfo,19,19,True,0,,False
    GLOBALREFRESH,1,1,True,0,,False
    GPIUPDATE,4598,4598,True,0,,False
    DOCVIEWS,318,318,True,0,,False
    MEDINFO_plus_delta,1358,1358,True,0,,False
    MEDINFO2178BAK,53011,53011,True,0,,False
    CEM_SubscriptionType,33,33,True,0,,True
    CEM_SubscriptionRunDate,6,6,True,0,,True
    ComponentSensitiveReport,15,15,True,0,,True
    PatientVisitResource,325619,0,True,325619,,True
    MasterDiagnosis_bak,345314,345314,True,0,,True
    WORKSTA,207,207,True,0,,True
    ORDERCAT,110,110,True,0,,False
    Load_ICD,343785,343785,True,0,,True
    ORDER_ENTRY_MODIFIERS,8476,8476,True,0,,True
    MS_DRUGDIS_DELTA,25263,25263,True,0,,True
    InsuranceCarriersOrdersApprvProv,6,6,True,0,,False
    MasterProcedures_bak,20330,20330,True,0,,False
    MIKPatientVisitProcs,380,0,True,380,,True
    ICDDEPT,7636,7636,True,0,,True
    MIKPatientVisitDiags,507,0,True,507,,True
    HIERGRPS,711,711,True,0,,True
    ORDENCINFO,1059,1059,True,0,,False
    FLOWSHEETLABELS,123,123,True,0,,False
    NDCTODDID,211136,211136,True,0,,False
    MS_TCRF_DELTA,53,53,True,0,,False
    EXTREFERENCES,7453506,7453506,True,0,,True
    ERX_UNITOFMEASURE,86,86,True,0,,False
    MS_MESSAGE_DELTA,132,132,True,0,,True
    MRUSelectionList,311,311,True,0,,False
    Load_PDM,101272,101272,True,0,,False
    HOUTTEXTMS_DELTA,2906,2906,True,0,,False
    DOCFORMAT,7,7,True,0,,True
    MUPatchData,1,1,True,0,,True
    MIKTypeMap,98,98,True,0,,False
    MS_COPYRIGHT,1,1,True,0,,True
    L3TASKTYPE,81,81,True,0,,False
    HANDDEPT,394,394,True,0,,False
    FHxRelationship,22,22,True,0,,False
    MS_D02I_DELTA,1706,1706,True,0,,False
    ERX_SS_DOSEFORMCODES,139,139,True,0,,False
    EDIReport,2669771,0,True,2669771,,True
    PaymentMethod,440431,440431,True,0,,True
    PatientVisitAmbulance,87020,0,True,87020,,True
    MUActivityLogType,28,28,True,0,,False
    MIKTriggerDestination,17,17,True,0,,False
    MIKTrigger,24,24,True,0,,False
    L3ATTRDEFINE,220,220,True,0,,False
    L3TASKONCE,394,394,True,0,,True
    MS_DDS_COPYRIGHT,1,1,True,0,,True
    MIKIdMap,1921,1921,True,0,,False
    MS_D01_DELTA,17386,17386,True,0,,False
    LOGLOCKS,5435,5435,True,0,,True
    PatientVisitFiling,402294,0,True,402294,,True
    ML_MERGEAUDIT,5164736,5164736,True,0,,True
    L3HIERARCHY,173,173,True,0,,False
    HOUTMAPMS,26805,26805,True,0,,False
    LabOrderPanel,1327614,1327614,True,0,,True
    INQFLTRS,267,267,True,0,,False
    CONFTYPES,9,9,True,0,,True
    Industry,272,272,True,0,,True
    BatchStatement,95,95,True,0,,True
    CONVRATIO,389,389,True,0,,False
    Country,251,251,True,0,,True
    Imm_VaccineGroupName,228,228,True,0,,True
    HOUTMAPMS_DELTA,270,270,True,0,,False
    HISTVIEWTEMPLATE,16,16,True,0,,False
    CQM_NQF_Measures,92,92,True,0,,False
    gtRecentWaitingListActivity,157,157,True,0,,True
    CQM_ValueSetCode,414237,414237,True,0,,False
    CUSTOMORDERS,3134,3134,True,0,,True
    DFIds,15048,15048,True,0,,True
    EDIEligibilityFile,582286,582286,True,0,,True
    NDCTODDID_DELTA,2613,2613,True,0,,False
    EXTID,662788,662788,True,0,,False
    GE_DBSchema_Audit,663457,663457,True,0,,True
    RcopiaMapLocation,18,18,True,0,,True
    RcopiaMapPatient,195333,195333,True,0,,True
    RcopiaMapUser,593,593,True,0,,True
    RemitChecks,65,65,True,0,,True
    EXT_CODE,8300,8300,True,0,,True
    TM_TaskHistory,260010,260010,True,0,,True
    TransactionColumnSetColumns,478,478,True,0,,True
    CEM_EventQueue,527789,527789,True,0,,True
    ApptSet,25669,25669,True,0,,True
    SYSTEMTEMP,51,51,True,0,,True
    AppSession,409,409,True,0,,True
    ACTIVEMQ_LOCK,1,1,True,0,,False
    SYMBOL,245831,245831,True,0,,True
    RcopiaSynchronizationMessage,76318,76318,True,0,,True
    ReportControlCriteria,27,27,True,0,,True
    Med_Before_After_Fix,48,48,True,0,,True
    PatientCorrespondence,849048,0,True,849048,,True
    MED_OVERRIDE,4011,4011,True,0,,True
    MedInteractionOverride,19304,19304,True,0,,True
    MEDICATE,3967682,3967682,True,0,,True
    cus_Script,25424,25424,True,0,,True
    cus_fixMikPatientVisitLock,607,0,True,607,,True
    CEM_Subscription,22,22,True,0,,True
    CareTransInMUFix,9,9,True,0,,True
    USR,1795,1795,True,0,,True
    DESKDOCVIEWS,149,149,True,0,,False
    AADConfiguration,49,49,True,0,,True
    DoctorFacility,52752,52752,True,0,,True
    DOCTYPES,77,77,True,0,,False
    PatientVisitProcs,687551,0,True,687551,,True
    AllocationSetRange,177,177,True,0,,True
    Appointments,4252210,0,True,4252210,,True
    ARAggregates,1082162,1082162,True,0,,True
    ChargeSets,4,4,True,0,,True
    CasesAuth,6835,6835,True,0,,True
    CasesAuthDetail,6842,6842,True,0,,True
    CasesAuthDoctor,12786383,12786383,True,0,,True
    CMSReimbursementMap,69750,69750,True,0,,True
    ContentList,12586,12586,True,0,,True
    ContentList_bak,15065,15065,True,0,,True
    County,3295,3295,True,0,,True
    COVID_CONTENTLIST,1060,1060,True,0,,True
    CPTDEPT,113,113,True,0,,True
    CQM_Map,21051,21051,True,0,,True
    CQM_Value_Set_Result_Codes,215,215,True,0,,False
    CQM_ValueSet,4452,4452,True,0,,False
    cus_CpnsIndexOverlaps,109,109,True,0,,False
    CUSTOMALLERGIES,481,481,True,0,,False
    customallergies_kbupd,690,690,True,0,,False
    DiagnosisSpecialty,6337949,6337949,True,0,,True
    CVX,142,142,True,0,,False
    DDID_RXNORM,23101,23101,True,0,,False
    DDIDUPDATE,1872,1872,True,0,,False
    DiagCMSRembMap,98064,98064,True,0,,True
    Diagnosis,120271,120271,True,0,,True
    Diagnosis_bak,120271,120271,True,0,,True
    EDIClaim,379170,0,True,379170,,True
    DOCTEMPLATE,1569,1569,True,0,,False
    EPCS_USER_DEA,73,73,True,0,,True
    Employer,1,1,True,0,,True
    ERX_DOSAGEFORM,131,131,True,0,,False
    ENCTYPE,199,199,True,0,,False
    EPCS_USER_DEA_ENROLLMENT,73,73,True,0,,True
    ExportDocumentSettings,2,2,True,0,,True
    GPIToAllergen,85,85,True,0,,False
    FORMSET,15874,15874,True,0,,True
    HOUTTEXTMS,92959,92959,True,0,,False
    HIEROBJS,4893,4893,True,0,,True
    InsSourceOfPayments,145,145,True,0,,False
    INQTYPE,5,5,True,0,,False
    InsuranceCarrierCompanyProcessing,347,347,True,0,,True
    InsuranceGroup,41,41,True,0,,True
    Language,486,486,True,0,,True
    L3FORMATS,16,16,True,0,,False
    JOBTITLE,42,42,True,0,,False
    LOCREG,22,22,True,0,,True
    MasterDiagnosis,345314,345314,True,0,,True
    Map_LoincNum_HDIDs,278,278,True,0,,False
    Map_OtherCode_HDIDs,6362,6362,True,0,,False
    MasterProcedures,20330,20330,True,0,,False
    MasterDiagnosisKeyword,14567,14567,True,0,,False
    MasterInsuranceCarriers,6513,6513,True,0,,False
    MEDINFO,50142,50142,True,0,,False
    MEDDEPT_CPI_BACKUP,19973,19973,True,0,,False
    MEDDEPT,16634,16634,True,0,,True
    MedListsEditor,132,132,True,0,,False
    Medlists_PreUpgrade,151,151,True,0,,True
    MS_DOSING_PROFILES,74720,74720,True,0,,True
    MS_DRUG_DOSING,1030921,1030921,True,0,,True
    MS_DRUG_DOSING_DELTA,43970,43970,True,0,,True
    MS_DOSING_PROFILES_DELTA,3659,3659,True,0,,True
    MS_TCRF,8931,8931,True,0,,False
    MS_MESSAGE,10757,10757,True,0,,True
    OBSHEAD,88088,88088,True,0,,True
    ORDERCODES,4496,4496,True,0,,False
    ORDER_MODIFIERS,8,8,True,0,,False
    PatientVisitDiags,767782,0,True,767782,,True
    PatientVisitPaperClaim,15798,0,True,15798,,True
    PatientVisitAttachment,1221,0,True,1221,,True
    ProblemCodeMap,117366,117366,True,0,,False
    ACTIVEMQ_MSGS,26048,26048,True,0,,False
    AllergyFix,4601,4601,True,0,,False
    ApptSearchCriteriaApptTypes,1435,1435,True,0,,True
    AUDIT_PROFILE,719183,719183,True,0,,False
    ApptTypeAssignments,4791,4791,True,0,,True
    ApptSearchCriteriaResources,2203,2203,True,0,,True
    AUCSTATUS,6,6,True,0,,True
    CDS_Parameters,1,1,True,0,,True
    CasesAttachment,234,234,True,0,,True
    DFFeeSchedule,9486,9486,True,0,,True
    CEM_TriggerStatus,4,4,True,0,,False
    Clearinghouse,5,5,True,0,,True
    cus_LockedDocuments,115,115,True,0,,True
    CriticalErrorSymbol,1,1,True,0,,False
    EDIClaimFile,97629,97629,True,0,,True
    emridcontrol,1,1,True,0,,False
    DOCVIEWS_TRACKER,3,3,True,0,,True
    FLAGTEMP,1689,1689,True,0,,False
    FeeSchedule,55,55,True,0,,True
    iLicInfo,1,1,True,0,,True
    GPICLUPD,6,6,True,0,,False
    gtRecentScheduleActivity,271398,271398,True,0,,True
    L3ATTRBIND,614,614,True,0,,False
    INETSERVICES,45,45,True,0,,False
    KDCUPDATE,13667,13667,True,0,,False
    L3DTS,115,115,True,0,,False
    L3TASKDTS,79,79,True,0,,False
    L3ATTRTYPE,153,153,True,0,,False
    LIC_HISTORY,13563,13563,True,0,,True
    L3TASKSTEP,82,82,True,0,,False
    L3TASKSTATUS,122,122,True,0,,True
    MIKDestination,5,5,True,0,,False
    MIKEventLog,573,573,True,0,,True
    ML_MERGEGLOBALS,2,2,True,0,,True
    MIKType,31,31,True,0,,False
    MRUCUSTOMLISTS,1796,1796,True,0,,False
    MS_D02C_DELTA,1072,1072,True,0,,False
    ORDERDEFAULTS,11,11,True,0,,False
    OBSNORM,98,98,True,0,,False
    PatientVisitProcsAgg,687551,0,True,687551,,True
    PatientVisitInsurance,435003,0,True,435003,,True
    PatientVisitFilingConditionCodes,269917,0,True,269917,,True
    RcopiaMessageStatusReason,28,28,True,0,,True
    SERVPROV,2740,2740,True,0,,True
    StatementsCriteriaGuarantor,49448,49448,True,0,,True
    TransactionDistributions,3859525,3859525,True,0,,True
    VisitTransactions,863824,0,True,863824,,True
